"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"Canton de Vaud",1,1,1,"33037820","Bgee"
"Intramural NIH HHS",68,62,46,"22084196, 22139929, 23203889, 23197659, 33086069, 24016071, 28383342, 26582918, 23193260, 25428365, 26438539, 23193291, 24297256, 25010047, 22102591, 22139925, 23193258, 23193275, 24558441, 25982314, 31600197, 21873645, 25220766, 22139910, 23093593, 26048622, 22102570, 31103066, 23044550, 23284744, 32027495, 21177655, 22080546, 23180778, 24304891, 25392405, 22140110, 23696674, 24259432, 24319143, 25352543, 25414350, 25428361, 34366563, 25414356, 27008011, 26302176, 26657633, 23203872, 24198245, 26553804, 22135289, 23193287, 24931982, 29927072, 30774152, 26400175, 31851420, 23180798, 24316578, 25510495, 22121212","BGMUT, BioProject, Bookshelf, CDD, CellMiner-SCLC, CellMinerHCC, CHEAR, ClinVar, Clone, COGs, CRISPRz, DGVa, dbGaP, GBM-BioDP, IBIS, GWASdb, GEO, GTR, HTD, GermlncRNA, iCite, iRefIndex, LabeledIn, NCBI Taxonomy, PaVE, PedsDTI, ProPortal, Placental Atlas Tool, SemMedDB, StRAP, tautomeric, COMBREX, International Nucleotide Sequence Database Collaboration, ZInC, Virus Variation, non-human primate reference transcriptome resource, PubChem, CGD, RefSeq, MMDB, RNAcentral, GenBank, GRASP, DSLD, MTB, Rfam"
"The Council of Scientific and Industrial Research, India",1,1,1,"34897852","BGvar"
"National Beef Cattle and Yak Industrial Technology System, China",1,1,1,"32540200","BGVD"
"National Thousand Youth Talents Plan, China",1,1,1,"32540200","BGVD"
"Danish National Research Foundation",2,2,2,"33010170, 33152079","BiG-FAM, antiSMASH"
"Novo Nordisk Foundation",12,8,7,"33010170, 31612915, 33156327, 33270898, 30395294, 33152079, 30418610, 33237311","BiG-FAM, MIBiG, TCRD, GPCRdb, antiSMASH, eggNOG, STRING"
"Graduate School for Experimental Plant Sciences",3,3,3,"33010170, 31612915, 33152079","BiG-FAM, MIBiG, antiSMASH"
"NCATS NIH HHS",48,30,28,"25378330, 25516260, 25190456, 23893318, 23630576, 23172289, 23197658, 25951377, 30371892, 30951672, 31509535, 31701147, 27069559, 34349127, 25102069, 33245774, 33361798, 27026615, 24223973, 27643925, 33035346, 33156327, 26578587, 26590263, 33151287, 25388151, 27899567, 25378335, 23161678, 30395287","Binding MOAD, Bioclock, CCGD, CDSA, CMS, dictyBase, DGA, DeTEXT, DrugCentral, exRNA Atlas, GutFeelingKB, LINCS, MD-CTS, MiREDiBase, Panorama, PAGER-CoV, Open Cancer TherApeutic Discovery, PheKB, SWEETLEAD, StemCellCKB, tRFtarget, TCRD, BioGPS, Lynx, EVpedia, GOC, MeT-DB, UniProtKB"
"The Danish Ministry of Higher Education and Science",1,1,1,"31405382","bio.tools"
"Villum Fonden",6,6,6,"31405382, 26062809, 32665542, 32976589, 27504778, 28182744","bio.tools, CMRegNet, CoVex, DIGGER, GNPS, OMDB"
"ELIXIR-EXCELERATE under the European Union&apos;s Horizon 2020 research and innovation programme",1,1,1,"31405382","bio.tools"
"Novo Nordisk Foundation Center for Protein Research",20,18,11,"31405382, 22058129, 25484339, 28077569, 23203871, 29617745, 33156327, 29036351, 33151287, 24297252, 24293645, 25352553, 26582926, 26590256, 27924014, 30418610, 30476243, 33237311","bio.tools, DistiLD, DISEASES, RAIN, STRING, TISSUES, TCRD, miRandola, DrugCentral, eggNOG, STITCH"
"Department of Biotechnology",5,4,4,"28875065, 29939244, 32829394, 33459764","BioFuelDB, PtRFdb, TGV, SWITCHES"
"DST-INSPIRE Fellowship",1,1,1,"28875065","BioFuelDB"
"Engineering and Physical Sciences Research Council",21,11,11,"27246819, 27899646, 30418645, 31584092, 24214988, 25414345, 29316788, 24214965, 34655133, 30395294, 31740968","BioHub, FAIRDOMHub, MemProtMD, PDBe-KB, SAbDab, SUPERFAMILY, SynBioHub, ChEMBL, OAS, antiSMASH, SEVA-DB"
"Korean Government",4,1,1,"31599923","BiomeNet"
"National Research Foundation of Korea",16,9,9,"31599923, 26272709, 30418591, 33137185, 23219992, 30733462, 30602089, 31680157, 29156309","BiomeNet, GenomewidePDB, HumanNet, iCSDB, MENT, PFDB, STADIUM, ChimerDB, SMBP"
"Infinitus Co. Ltd",1,1,1,"29529902","BioPepDB"
"NIEHS NIH HHS",34,16,10,"31133849, 29985970, 23630576, 24101916, 28557712, 25953081, 33361798, 22171328, 24288368, 23093600, 25326323, 27651457, 29846728, 30247620, 33068428, 29351546","BioPlanet, BrainEXP, CMS, FunGene, ICE, MIsoMine, Open Cancer TherApeutic Discovery, seeQTL, RDP, CTD"
"Natural Environment Research Council",19,12,12,"26820405, 33167031, 25189782, 21707958, 29897419, 33084905, 23193267, 25558364, 25740460, 30094004, 25025376, 26578574","Biosurveillance Analytics Resource Directory, COG, GOBLET, Littorina sequence database, MARDy, MeDAS, PR(2, PREDICTS, PhytoREF, SuperbaSE, tropiTree, Ensembl"
"the National High Technology Research and Development Program of China",1,1,1,"27623959","BmncRNAdb"
"Chongqing Graduate Student Research Innovation Project",1,1,1,"27623959","BmncRNAdb"
"the National Natural Science Foundation of China",10,5,5,"27623959, 34964846, 32183712, 29743053, 34154536","BmncRNAdb, COGVIC, CuAS, PDXliver, TeaAS"
"Division of Environmental Biology",3,1,1,"28365726","BMW"
"Zhejiang Provincial Key Research Project",1,1,1,"33399824","BnaGVD"
"Jiangsu Collaborative Innovation Centre for Modern Crop Production",1,1,1,"33399824","BnaGVD"
"Department of Science and Technology",5,4,4,"31958638, 32337573, 28498885, 33892308","BoMiProt, MPTherm, PROXiMATE, SAPdb"
"National Postdoctoral Fellowship",1,1,1,"31958638","BoMiProt"
"Council of Scientific and Industrial Research",17,13,13,"31958638, 27832200, 27472917, 32219412, 32090260, 28854643, 29129553, 30858555, 30349509, 30307523, 31796964, 29432422, 33112702","BoMiProt, Cancertope, CicerTransDB, circad, HSPMdb, MSDB, mitoepigenomeKB, MorCVD, PanGFR-HM, PVsiRNAdb, PRP, TopicalPdb, LncRBase"
"Science and Engineering Research Board",8,8,8,"31958638, 27832200, 34791106, 34793786, 32090260, 35424258, 28961249, 33112702","BoMiProt, Cancertope, database of cancer mutant protein domains, FCCP, HSPMdb, MeFSAT, SWI/SNF Infobase, LncRBase"
"Ministry of Human Resource Development",1,1,1,"31958638","BoMiProt"
"NIMHD NIH HHS",5,3,3,"24994456, 25190456, 25378335","BorreliaBase, CCGD, MeT-DB"
"British Neuropathological Society",1,1,1,"34528715","BRAIN UK"
"Medical Research Council Canada",1,1,1,"34528715","BRAIN UK"
"Brain Tumour Research",1,1,1,"34528715","BRAIN UK"
"National Key Plan for Scientific Research and Development of China",3,3,3,"29985970, 31774482, 32349124","BrainEXP, FluReassort, VirusCircBase"
"Innovation-Driven Project of Central South University",2,1,1,"29985970","BrainEXP"
"Scottish Funding Council",2,1,1,"26794641","BRAINS"
"DBT/Wellcome Trust India Alliance",1,1,1,"26586806","BreCAN-DB"
"Wellcome Trust",267,152,100,"26586806, 29126148, 23486613, 22718786, 25270877, 25355519, 23868908, 24319146, 22962312, 23074185, 23193291, 25505093, 28299908, 22080548, 22116062, 22139938, 22912585, 23161689, 23175615, 25348407, 25378340, 30008982, 30357393, 32726198, 34493866, 22923302, 23193293, 26342919, 26578596, 27733501, 27976751, 29040670, 23667450, 23998809, 27638885, 21856757, 22080565, 23935057, 30418645, 24229347, 24297257, 25172923, 25399418, 26476444, 31584092, 22363733, 23674503, 24304897, 25361970, 25593348, 28748223, 31598690, 23203869, 24504151, 30481257, 33416848, 24194607, 26123534, 26249811, 26582922, 28985418, 33095862, 22080546, 24194600, 24318814, 25300491, 25348409, 30398663, 30601939, 22067447, 23203987, 23245209, 24214965, 24259432, 25352543, 26673716, 27899622, 28981707, 29145643, 29533231, 30407529, 33206959, 33211879, 33290552, 24150940, 23203883, 24270792, 29161421, 33270111, 29121237, 23087376, 31584097, 26919060, 33952332, 31680154, 26657633, 26481351, 23203882, 24163254, 24316576, 30304474, 27899562, 27794554, 30357350, 24265224, 24311564, 27899567, 27899578, 27903906, 33180112, 27899635, 29140473, 29165655, 30395289, 26888907, 30398643, 33125078, 22086950, 27789705, 27450113, 30395331, 30371878, 29112716, 29761457, 30398656, 33166387, 26527722, 26896847, 25883136, 33106848, 24288371, 25723102, 23125362, 23584835, 23193274, 30357387, 23161678, 33156333, 23180798, 33170273, 29155950, 21936816, 24157837, 25348405, 30407521, 26527717, 31691826, 31722421, 26578574, 33175160, 31598706, 22086963","BreCAN-DB, CCDS, CGOB, ChromoHub, CODEX, COSMIC, CREDO, CSA, DECIPHER, DARNED, DGVa, diXa, DrugAge, ENA, GeneDB, Gene3D, GenDR, GeneTack, EuPathDB, Genome3D, Europe PMC, EMDB, GENCODE, EnteroBase, eQTL, HSPIR, HAGR, Geroprotectors, HPMC, HipSci, Hepitopes, ICTV, LipidHome, LongevityMap, IGSR, modENCODE, modMine, metabolicMine, MemProtMD, NeuroGeM, NECTAR, Naked Mole Rat Genome Resource, OMA, PDBe, PDBe-KB, PrionHome, PhosphoGRID, PPD, PomBase, PlasmoGEM, PhenoPlasm, ProCarbDB, SIFTS, SATuRN, SkeletalVis, SARS CoV-2, TreeFam, The Mouse Genomes Project, SurvCurv, SureChEMBL, SysteMHC, ThermoMutDB, International Nucleotide Sequence Database Collaboration, IMPC, Electronic Mouse Atlas of Gene Expression, TrypanoCyc, Human Disease Ontology, CATH, UbiHub, Ensembl Genomes, Ensembl, HGNC, ChEMBL, RefSeq, RNAcentral, Pfam, UniProt, EPD, MEROPS, wwPDB, BioSamples, IntAct, ArrayExpress, GOC, IUPHAR-DB, MSeqDR, SANCDB, TDR Targets, Expression Atlas, PRIDE, RepeatsDB, InterPro, JASPAR, CARD, PDB, FANTOM5, Rfam, ENCODE, Gramene, UniProtKB"
"Department of Biotechnology, Govt. of India",2,2,2,"27164438, 27285615","BrucellaBase, Northeast India Helminth Parasite Information Database"
"Innovationsfonden",1,1,1,"33539279","BSGatlas"
"Japan Agency for Medical Research and Development",13,10,10,"32026396, 33511845, 29532461, 33740463, 31640730, 33661371, 33179747, 30462320, 33166387, 33156332","BSM-Arc, FMODB, HpBase, ICSCB, NARD, OryzaGenome, jMorp, COXPRESdb, International Nucleotide Sequence Database Collaboration, DDBJ"
"Japan Agency for Medical Research and Development (JP)",1,1,1,"32026396","BSM-Arc"
"CAPES",1,1,1,"25656309","BtoxDB"
"CNPq",1,1,1,"25656309","BtoxDB"
"FAPESP",3,2,2,"25656309, 33221926","BtoxDB, HumanMetagenomeDB"
"NLM NIH HHS",47,40,33,"27050421, 26519468, 23893318, 32392296, 33167031, 33211888, 22110038, 22748121, 26567549, 22058127, 31701147, 33137204, 33166392, 22146221, 27907895, 24406170, 26504143, 21624156, 27733502, 29036590, 23066107, 23175606, 26590254, 31598702, 31680168, 21447597, 26612867, 34314492, 26590405, 22102590, 23203985, 33211869, 33166387, 23161681, 33106848, 29069413, 24253303, 25348405, 33151290, 26519399","C-terminome, ccmGDB, CDSA, CoCoCoNet, COG, CSEA-DB, GeneSigDB, Genes2FANs, GEneSTATION, MACiE, LINCS, KinaseMD, LitCovid, MnM, mutLBSgeneDB, PeptiSite, PDID, PHARE-KB, SZGR, TissGDB, TSGene, WholeCellKB, UET, VISDB, TSEA-DB, UniProtKB, Dfam, GlyTouCan, Rfam, International Nucleotide Sequence Database Collaboration, RNAcentral, WormBase, PubChem"
"Ministry of Education, Science and Technology",1,1,1,"22584068","CACG"
"European Commission FP7",32,19,18,"22080563, 22110040, 22096229, 22096227, 22730453, 21472892, 22139920, 23180794, 22102589, 22135296, 21520333, 22753137, 21702733, 21995777, 22102590, 22135291, 22096232, 22121220, 22086963","CADRE, ELM, InterPro, MINT, MuteinDB, PORCN, SitEx, TFClass, UniPathway, VectorBase, LOVD, ALSoD, BRAD, UniProtKB, Rhea, BioSamples, IntAct, Ensembl"
"Edward Via College of Osteopathic Medicine",1,1,1,"30329086","CAGm"
"Indo-French Centre for the Promotion of Advanced Research",1,1,1,"33444113","CALR-ETdb"
"Grand Equipement National de Calcul Intensif",1,1,1,"33444113","CALR-ETdb"
"Division of Graduate Education",1,1,1,"33306801","CamRegBase"
"Basic Energy Sciences",1,1,1,"33306801","CamRegBase"
"NCI",3,2,2,"34903605, 29092931","Cancer-Immu, Cistrome Cancer"
"Cancer Center Support Grant",1,1,1,"34903605","Cancer-Immu"
"SPORE in Breast Cancer",1,1,1,"34903605","Cancer-Immu"
"University Grants Commission",4,4,4,"32360910, 27832200, 33136065, 29109711","CancerEnD, Cancertope, HPREP, miPepBase"
"Council of Scientific and Industrial Research, India",2,2,2,"32360910, 34107869","CancerEnD, PINIR"
"Italian Association for Cancer Research",4,2,2,"31598703, 31665520","CancerGeneNet, SIGNOR"
"National Science Fund for Distinguished Young Scholars",3,3,3,"33010176, 31584086, 31640808","CancerImmunityQTL, PGG.Han, PGG.SNV"
"Japan Society for the Promotion of Science",25,13,13,"22659240, 28234924, 33196844, 33511845, 30046160, 29206899, 23911837, 28481528, 33002111, 30371824, 29668970, 30407557, 29216398","CancerProView, DNApod, dbCNS, FMODB, KampoDB, MOSAIC, PTP-central, PubChemQC, PyDISH, ViBrism, MitoFish, FANTOM5, ATTED-II"
"Ministry of Education, Culture, Sports, Science and Technology",6,6,6,"22659240, 29532461, 33002111, 33179747, 33166387, 33156332","CancerProView, HpBase, PyDISH, jMorp, International Nucleotide Sequence Database Collaboration, DDBJ"
"China Postdoctoral Science Foundation",44,30,30,"30329142, 34345532, 29939204, 33471060, 30289549, 30321400, 30335161, 30380109, 31584099, 32858223, 33264402, 33984507, 29788225, 31713618, 32820322, 28968812, 32159764, 32990748, 30445567, 32111231, 32849839, 30913342, 32990749, 33360695, 34273956, 33175170, 33993461, 31599330, 33306787, 33196801","CancerSEA, CanImmunother, CARDIO-LNCRNAS, Cellinker, CellMarker, EWASdb, EVmiRNA, iEKPD, gutMDisorder, hTFtarget, HERB, HisPhosSite, LnChrom, LncTarD, LncAS2Cancer, MetSigDis, MMHub, miRNASNP-v3, OncoBase, NoncoRNA, RIGD, TPIA, TCRdb, ToxinDB, TCM-Blast, 2019nCoVR, TUPDB, LSD, MetaADEDB, NONCODE"
"National Program on Key Basic Research",4,4,4,"30329142, 30289549, 30476305, 30407549","CancerSEA, CellMarker, LncACTdb, Lnc2Cancer"
"National High Technology Research and Development Program of China",6,5,5,"30329142, 29939204, 30289549, 28575155, 30252093","CancerSEA, CARDIO-LNCRNAS, CellMarker, Dynamic-BM, iProX"
"Higher Education in Heilongjiang Province",1,1,1,"30329142","CancerSEA"
"Heilongjiang Postdoctoral Foundation",2,2,2,"30329142, 30289549","CancerSEA, CellMarker"
"Harbin Medical University",9,9,9,"30329142, 30289549, 31665430, 30476305, 31617563, 33045741, 32047897, 33095866, 30407549","CancerSEA, CellMarker, ENdb, LncACTdb, LnCeVar, LncSEA, TRlnc, VARAdb, Lnc2Cancer"
"Indian Council of Medical Research",6,5,5,"27832200, 29109711, 32345779, 25269378, 32380213","Cancertope, miPepBase, PSCRIdb, SPGDB, TrypInDB"
"Open Source Drug Discovery",2,2,2,"27832200, 28759605","Cancertope, THPdb"
"Austrian Science Fund FWF",7,6,6,"21718534, 24225386, 26590402, 30357379, 21366916, 26586809","CANGS, COMMODE, EffectiveDB, EndoDB, PoPoolation, probeBase"
"Shenzhen Basic Research Fund",1,1,1,"34345532","CanImmunother"
"Fundamental Research Funds of the Central Universities",1,1,1,"34345532","CanImmunother"
"Natural Science Foundation of Guangdong Province",5,5,5,"34345532, 29178828, 31524396, 30380102, 32761141","CanImmunother, CrusTF, HybridMolDB, qPhos, SPDB"
"Strategic Priority CAS Project",1,1,1,"34345532","CanImmunother"
"Sanming Project of Medicine",1,1,1,"34345532","CanImmunother"
"Guangdong Project",1,1,1,"34345532","CanImmunother"
"Guangdong Basic and Applied Basic Research Foundation, China",1,1,1,"34345532","CanImmunother"
"Dongsheng Yu",1,1,1,"34345532","CanImmunother"
"Sun Yat-sen University",1,1,1,"34345532","CanImmunother"
"Support Scheme of Guangzhou for Leading Talents in Innovation and Entrepreneurship",1,1,1,"34345532","CanImmunother"
"Wenliang Zhang",1,1,1,"34345532","CanImmunother"
"Binghui Zeng",1,1,1,"34345532","CanImmunother"
"Weizhong Li",1,1,1,"34345532","CanImmunother"
"Ministerio de Ciencia, Innovación y Universidades",4,3,3,"33942873, 33655207, 31647096","CANNUSE, TMSNP, proGenomes2"
"Generalitat de Catalunya",5,5,5,"33942873, 21491493, 30335169, 31608375, 32786900","CANNUSE, Noncoded Amino acids Database, PopHumanScan, GSAD, BCE"
"Spanish government",1,1,1,"33942873","CANNUSE"
"Institut d’Estudis Catalans",1,1,1,"33942873","CANNUSE"
"Stavros Niarchos Foundation",2,2,2,"34174131, 33080028","CanVaS, Peryton"
"Danish Council for Independent Research–Technology and Production Sciences",1,1,1,"29509874","CarbonylDB"
"National Program on Key Basic Research Project",5,2,2,"29939204, 29617941","CARDIO-LNCRNAS, SCRIPT-MAP"
"Heilongjiang Province Youth Science and technology",2,1,1,"29939204","CARDIO-LNCRNAS"
"Natural Science Foundation of Heilongjiang Province",9,8,8,"29939204, 28334239, 31665430, 31713618, 30371817, 30184150, 32047897, 30380072","CARDIO-LNCRNAS, coexpressMAP, ENdb, LncTarD, SEdb, TRCirc, TRlnc, LncRNA2Target"
"Weihan Yu Youth Science Fund Project of Harbin Medical University",1,1,1,"29939204","CARDIO-LNCRNAS"
"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",1,1,1,"26040787","CARMO"
"Strategic Priority Research Program of the Chinese Academy of Sciences",4,3,3,"26040787, 30364969, 30365027","CARMO, EWAS Atlas, gcMeta"
"Natural Science Foundation of Guangdong Province-Outstanding Youth Projec",1,1,1,"35134148","CATA"
"Basic & Applied Basic Research Programs of Guangdong province",1,1,1,"35134148","CATA"
"Basic &amp; Applied Basic Research Programs of Guangdong province",1,1,1,"35134148","CATA"
"Swedish Cancer Foundation",1,1,1,"30717315","CBD"
"Svenska Forskningsrådet Formas",1,1,1,"30717315","CBD"
"Dutch Science Foundation",1,1,1,"29020642","cBiT"
"Dutch province of Limburg",1,1,1,"29020642","cBiT"
"Indian Council of Agricultural Research",3,2,2,"29753807, 28096778","CbLncRNAdb, PineElm_SSRdb"
"National Institute of Mental Health",5,5,5,"32386544, 33599246, 26048622, 29370821, 33206959","CCFv3, Gemma, PedsDTI, PhenoDis, IntAct"
"CCR NIH HHS",5,5,5,"23893318, 33086069, 21491493, 27377064, 27587585","CDSA, CellMiner-SCLC, Noncoded Amino acids Database, RID, REDIportal"
"NCRR NIH HHS",57,30,28,"23893318, 23203874, 23197658, 23264352, 26946289, 21177656, 22748121, 23104379, 23504933, 27504778, 21880229, 22146221, 21821666, 23674503, 24227675, 25309735, 22434841, 24223973, 26516187, 22135298, 23550210, 25348409, 25392405, 27053566, 21447597, 27924039, 25501940, 23203872, 24316576, 22102590","CDSA, CIL-CCDB, DGA, DegraBase, dbPEC, Gene Expression Barcode, Genes2FANs, GFDB, Human Proteinpedia, GNPS, Monogenic Diabetes Registry, MnM, NeuroPedia, PhosphoGRID, PhosphoNetworks, SkateBase, TGD, SWEETLEAD, SynLethDB, PhosphoSitePlus, cBioPortal, Human Disease Ontology, non-human primate reference transcriptome resource, Vaxar, UniProtKB, FlyRNAi, SFLD, Ensembl"
"Natural Science Foundation of Jiangsu Province",1,1,1,"29992323","CeleryDB"
"Program for New Century Excellent Talents in University",2,2,2,"29992323, 32510565","CeleryDB, GreenCircRNA"
"Guangzhou science and technology project key project topic",1,1,1,"33471060","Cellinker"
"Basic and Applied Basic Research Fund of Guangdong Province",4,2,2,"33471060, 32833025","Cellinker, MNDR"
"National Key Research and Development Project of China",2,2,2,"33471060, 33003203","Cellinker, QSIdb"
"Construction of Higher Education in Heilongjiang Province",1,1,1,"30289549","CellMarker"
"National Cancer Institute",29,23,23,"33086069, 30202990, 30247654, 34127402, 31588509, 32986834, 21491493, 25102069, 27152146, 29186335, 32810235, 33245774, 33442735, 21656910, 32358997, 34014674, 32027495, 33729437, 33206959, 33849445, 33151287, 33237286, 33290554","CellMiner-SCLC, ChIPprimersDB, HACER, Immu-Mela, MutEx, ModelSEED, Noncoded Amino acids Database, Panorama, NCRO, OncoPPi, PCAT, PAGER-CoV, O-GlcNAcAtlas, QuAD, ProNetView-ccRCC, SistematX, tautomeric, TIE, IntAct, TANTIGEN, DrugCentral, UniProtKB, PANTHER"
"Natural Science Foundation of Zhejiang Province",2,2,2,"33147626, 33507270","CellTalkDB, InSexBase"
"National Youth Top-notch Talent Support Program",1,1,1,"33147626","CellTalkDB"
"Biotechnology and Biological Sciences Research Council, UK",4,1,1,"32754757","CerealsDB"
"Beijing Natural Science Foundation",5,4,4,"31428785, 30266409, 29617941, 33306800","CFEA, PlaD, SCRIPT-MAP, CEG"
"Science Foundation of Zhejiang Province",1,1,1,"31428785","CFEA"
"Special Foundation for Key Basic Research of Wenzhou Institute of Biomaterials and Engineering",1,1,1,"31428785","CFEA"
"CAMS Innovation Fund for Medical Sciences",2,1,1,"31428785","CFEA"
"Association Vaincre la Mucoviscidose",1,1,1,"28603918","CFTR-France"
"Saigon University",1,1,1,"28651548","CHD"
"The Vietnam National Gene Fund",1,1,1,"28651548","CHD"
"Natural Science Foundation of the Jiangsu Higher Education Institutions of China",2,2,2,"32608479, 31950190","CHDGKB, PCaLiStDB"
"National Institute of General Medical Sciences",34,22,20,"30486838, 32073269, 25333826, 33995899, 29337142, 33973408, 25102069, 30985146, 29733404, 31494246, 32345346, 27188311, 30871473, 33211851, 30668832, 33206959, 33290552, 34529321, 33237286, 30395331, 30476243, 30395287","CHESS, COLMAR Lipids, Complex Mixture Analysis by NMR, DRscDB, Express, hu.MAP, Panorama, ProteinExplorer, SPAR, SliceIt, REPIC, Structure Surfer, TADKB, WikiPathways, DASHR, IntAct, GOC, antimicrobial peptide database, UniProtKB, STRING"
"Fundos Europeus Estruturais e de Investimento",1,1,1,"33068420","chewie-NS"
"Fundação para a Ciência e a Tecnologia",11,5,5,"33068420, 31713636, 34782688, 29899596, 33822911","chewie-NS, DisProt, CyFi-MAP, LEGE, MENSAdb"
"FEDER",7,4,4,"33068420, 30593925, 31171447, 31680165","chewie-NS, SITVIT2, SynGO, DisGeNET"
"FCT",2,2,2,"33068420, 30820574","chewie-NS, Mammalian Stress Granules Proteome"
"Department of Defense",3,2,2,"30202990, 21656910","ChIPprimersDB, QuAD"
"National Institute of Health Core",1,1,1,"30202990","ChIPprimersDB"
"Ministry of Innovation and Technology in Hungary",1,1,1,"31942977","ChIPSummitDB"
"Higher Education Institutional Excellence Programme",1,1,1,"31942977","ChIPSummitDB"
"National Research, Development and Innovation Office of Hungary",2,1,1,"31942977","ChIPSummitDB"
"CIHR",16,13,13,"22718786, 31095607, 23019048, 31679514, 24229347, 31724725, 23674503, 31868683, 32442307, 33125652, 33313828, 27899612, 27789705","ChromoHub, CiliaCarta, CRCgene, MaveDB, NeuroGeM, oRNAment, PhosphoGRID, QPN, SYNERGxDB, iRefWeb, PSORTdb, YMDB, CARD"
"University of the Sunshine Coast",1,1,1,"30045691","CIGene"
"the National Key Research and Development Program of China",3,3,3,"30045691, 34791105, 34154536","CIGene, HFIP, TeaAS"
"National Institute for Health Research (NIHR)",9,6,6,"31095607, 24217912, 27976751, 24297257, 25414323, 26919060","CiliaCarta, HPO, Hepitopes, NECTAR, AFND, MSeqDR"
"KRESCENT",1,1,1,"31095607","CiliaCarta"
"Netherlands Genomics Initiative",1,1,1,"31095607","CiliaCarta"
"NIHR Great Ormond Street Hospital Biomedical Research Center",1,1,1,"31095607","CiliaCarta"
"The Sir Jules Thorn Charitable Trust",1,1,1,"31095607","CiliaCarta"
"Telethon",7,7,7,"31095607, 21435384, 22804825, 24558125, 22096227, 22415763, 24234451","CiliaCarta, HOCTARdb, HuPho, MANTRA, MINT, Rett Networked Database, IntAct"
"Nierstichting",1,1,1,"31095607","CiliaCarta"
"Dutch Governement",1,1,1,"31095607","CiliaCarta"
"Radboud Universitair Medisch Centrum",1,1,1,"31095607","CiliaCarta"
"Radboud Universiteit",1,1,1,"31095607","CiliaCarta"
"Michael Smith Foundation for Health Research",2,2,2,"31095607, 31701148","CiliaCarta, JASPAR"
"Metakids Foundation",1,1,1,"31095607","CiliaCarta"
"National Key R&amp;D Program",9,5,5,"32345360, 32008039, 30380109, 29157087, 31942978","CircAtlas, EPSD, iEKPD, THANATOS, LncRNADisease"
"DFG Graduate School",1,1,1,"25234927","circBase"
"MDC-NYU",1,1,1,"25234927","circBase"
"The research start-up fellowship of the University of the Sunshine Coast to M.Z.",1,1,1,"34296749","circExp"
"Ministry of Science and Technology",9,5,5,"27365365, 30395277, 33175170, 32898258, 31701128","CIRCpedia, PlantPAN, 2019nCoVR, EXPath, DriverDB"
"Natural Science Foundation of Guangxi Zhuang Autonomous Region",1,1,1,"33181824","circR2Cancer"
"Hunan Provincial Science and Technology Program",1,1,1,"33181824","circR2Cancer"
"the Natural Science Foundation of Yunnan Province of China",1,1,1,"33181824","circR2Cancer"
"the scientific Research Foundation of Hunan Provincial Education Department",1,1,1,"33181824","circR2Cancer"
"the foundation of Guangxi University",1,1,1,"33181824","circR2Cancer"
"Science and Technology Base and talent Special project of Guangxi",1,1,1,"33181824","circR2Cancer"
"Key Research and Development Plan of Guangxi",1,1,1,"33181824","circR2Cancer"
"the research start-up fellowship of the University of the Sunshine Coast",1,1,1,"33121433","circVAR"
"Fundação Araucária",2,2,2,"33181825, 26887375","CitrusKB, PlanTE-MIR DB"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",6,5,5,"33181825, 33995920, 26887375, 33388027, 33095862","CitrusKB, ExVe, PlanTE-MIR DB, Propedia, ThermoMutDB"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico",5,5,5,"33181825, 33995920, 26887375, 24273012, 33095862","CitrusKB, ExVe, PlanTE-MIR DB, SpliceProt, ThermoMutDB"
"scientific initiation scholarship",1,1,1,"33181825","CitrusKB"
"Fundação de Amparo à Pesquisa do Estado de São Paulo",1,1,1,"33181825","CitrusKB"
"Technological Special Project of Liaoning Province of China",1,1,1,"33109630","CKTTD"
"the Construction of Liaoning Cancer Research Center",1,1,1,"33109630","CKTTD"
"the National Natural Science Foundation in China",1,1,1,"33109630","CKTTD"
"the Fundamental Research Fund for Central University",2,1,1,"33109630","CKTTD"
"National Natural Science Foundation in China",1,1,1,"33109630","CKTTD"
"RGYI",1,1,1,"25913159","ClosIndb"
"Ministry of Research and Innovation of Ontario",1,1,1,"33735471","CLRP"
"Canada Research Chairs",4,3,3,"33735471, 31825307, 30407591","CLRP, MouseBytes, IID"
"Shenzhen Municipal Government",5,2,2,"30357356, 28549078","CMAUP, HEROD"
"Zhejiang Province Ministry of Science and Technology",2,2,2,"30357356, 31231773","CMAUP, MepmiRDB"
"MOE",1,1,1,"30668638","CMEP"
"Featured Areas Research Center Program",1,1,1,"30668638","CMEP"
"Higher Education Sprout Project",2,2,2,"30668638, 33035337","CMEP, DockCoV2"
"Advanced Plant Biotechnology Center",1,1,1,"30668638","CMEP"
"National Major Scientific and Technological Special Project",2,1,1,"32986829","CMNPD"
"National Key Technology R&amp;D Program",1,1,1,"32986829","CMNPD"
"Ministry of Science and Technology of the People&apos;s Republic of China",156,10,10,"31813095, 28595571, 34992626, 33382035, 33938221, 33984507, 30134653, 33103271, 27643925, 34344425","CMVdb, CottonFGD, CottonGVD, DIPPER, D3DistalMutation, HisPhosSite, PADFrag, NanDeSyn, StemCellCKB, SorGSD"
"The Technology Development Funding of Wuxi",1,1,1,"31813095","CMVdb"
